series_id,year,period,value,footnote_codes
CUSR0000SAF,1967,M01,34.8,
CUSR0000SAF,1967,M02,34.7,
CUSR0000SAF,1967,M03,34.7,
CUSR0000SAF,1967,M04,34.6,
CUSR0000SAF,1967,M05,34.6,
CUSR0000SAF,1967,M06,34.9,
CUSR0000SAF,1967,M07,35.0,
CUSR0000SAF,1967,M08,35.2,
CUSR0000SAF,1967,M09,35.2,
CUSR0000SAF,1967,M10,35.3,
CUSR0000SAF,1967,M11,35.4,
CUSR0000SAF,1967,M12,35.5,
CUSR0000SAF,1968,M01,35.5,
CUSR0000SAF,1968,M02,35.7,
CUSR0000SAF,1968,M03,35.8,
CUSR0000SAF,1968,M04,36.0,
CUSR0000SAF,1968,M05,36.1,
CUSR0000SAF,1968,M06,36.1,
CUSR0000SAF,1968,M07,36.2,
CUSR0000SAF,1968,M08,36.3,
CUSR0000SAF,1968,M09,36.5,
CUSR0000SAF,1968,M10,36.8,
CUSR0000SAF,1968,M11,36.8,
CUSR0000SAF,1968,M12,37.0,
CUSR0000SAF,1969,M01,37.0,
CUSR0000SAF,1969,M02,37.0,
CUSR0000SAF,1969,M03,37.1,
CUSR0000SAF,1969,M04,37.4,
CUSR0000SAF,1969,M05,37.6,
CUSR0000SAF,1969,M06,38.0,
CUSR0000SAF,1969,M07,38.2,
CUSR0000SAF,1969,M08,38.4,
CUSR0000SAF,1969,M09,38.6,
CUSR0000SAF,1969,M10,38.7,
CUSR0000SAF,1969,M11,39.1,
CUSR0000SAF,1969,M12,39.5,
CUSR0000SAF,1970,M01,39.6,
CUSR0000SAF,1970,M02,39.8,
CUSR0000SAF,1970,M03,39.8,
CUSR0000SAF,1970,M04,39.9,
CUSR0000SAF,1970,M05,40.1,
CUSR0000SAF,1970,M06,40.1,
CUSR0000SAF,1970,M07,40.2,
CUSR0000SAF,1970,M08,40.2,
CUSR0000SAF,1970,M09,40.4,
CUSR0000SAF,1970,M10,40.5,
CUSR0000SAF,1970,M11,40.4,
CUSR0000SAF,1970,M12,40.5,
CUSR0000SAF,1971,M01,40.5,
CUSR0000SAF,1971,M02,40.5,
CUSR0000SAF,1971,M03,40.9,
CUSR0000SAF,1971,M04,41.1,
CUSR0000SAF,1971,M05,41.3,
CUSR0000SAF,1971,M06,41.5,
CUSR0000SAF,1971,M07,41.6,
CUSR0000SAF,1971,M08,41.6,
CUSR0000SAF,1971,M09,41.6,
CUSR0000SAF,1971,M10,41.7,
CUSR0000SAF,1971,M11,41.9,
CUSR0000SAF,1971,M12,42.3,
CUSR0000SAF,1972,M01,42.2,
CUSR0000SAF,1972,M02,42.6,
CUSR0000SAF,1972,M03,42.6,
CUSR0000SAF,1972,M04,42.6,
CUSR0000SAF,1972,M05,42.7,
CUSR0000SAF,1972,M06,42.8,
CUSR0000SAF,1972,M07,43.1,
CUSR0000SAF,1972,M08,43.1,
CUSR0000SAF,1972,M09,43.5,
CUSR0000SAF,1972,M10,43.7,
CUSR0000SAF,1972,M11,43.9,
CUSR0000SAF,1972,M12,44.1,
CUSR0000SAF,1973,M01,44.8,
